feature,grid_x,sp_diff,ci_low,ci_high,p_value,significant,n_group0,n_group1
int_rate,6.99,0.018402308225631714,0.017889464646577834,0.018925616145133974,0.0,True,546877,539359
int_rate,10.49,0.020642846822738647,0.02008398696780205,0.021153578907251357,0.0,True,546877,539359
int_rate,13.33,0.023967266082763672,0.023410804569721222,0.024453680217266082,0.0,True,546877,539359
int_rate,16.91,0.023378998041152954,0.022835679352283478,0.02393701672554016,0.0,True,546877,539359
int_rate,23.1,0.025041401386260986,0.024485445022583006,0.025604087114334106,0.0,True,546877,539359
funded_amnt,3600.0,0.023660331964492798,0.022898560762405394,0.02436215877532959,0.0,True,546877,539359
funded_amnt,8350.0,0.02306443452835083,0.022410261631011962,0.023730813711881637,0.0,True,546877,539359
funded_amnt,14400.0,0.022975295782089233,0.022311247140169143,0.023623711615800857,0.0,True,546877,539359
funded_amnt,22000.0,0.025580793619155884,0.024856070429086684,0.02627589777112007,0.0,True,546877,539359
funded_amnt,35000.0,0.032350897789001465,0.0316924974322319,0.03313666880130768,0.0,True,546877,539359
loan duration,0.0,0.022585034370422363,0.021806643903255464,0.023269155621528627,0.0,True,546877,539359
loan duration,1.0,0.028698503971099854,0.027999743819236755,0.02932686060667038,0.0,True,546877,539359
issue_d,2013.0,0.022875040769577026,0.02206893414258957,0.023539531975984573,0.0,True,546877,539359
issue_d,2015.0,0.020787835121154785,0.02003070041537285,0.02150353044271469,0.0,True,546877,539359
issue_d,2016.0,0.020785659551620483,0.02007327750325203,0.021471262723207474,0.0,True,546877,539359
issue_d,2017.0,0.024054378271102905,0.023378399759531023,0.024788137525320053,0.0,True,546877,539359
issue_d,2018.0,0.029230564832687378,0.028539963811635972,0.029922236502170563,0.0,True,546877,539359
dti,5.1,0.022254228591918945,0.02144448533654213,0.022926825284957885,0.0,True,546877,539359
dti,12.06,0.023248255252838135,0.02252972349524498,0.02390681058168411,0.0,True,546877,539359
dti,17.92,0.021018773317337036,0.020333901047706604,0.021678443253040313,0.0,True,546877,539359
dti,24.42,0.024352192878723145,0.023672549426555632,0.025015228241682053,0.0,True,546877,539359
dti,32.96,0.025605738162994385,0.024932830780744552,0.02629047855734825,0.0,True,546877,539359
